,Round: 1,Round: 2,Election,Round: 3,Round: 4,Round: 5,pyrankvote_winner,filename,round1winnervotes,round2winnervotes,round3winnervotes,round4winnervotes,round5winnervotes,total_votes_allrounds
0,"{'candidate_1': '12744', 'candidate_2': '12029', 'candidate_3': ' 4796'}","{'candidate_2': '15766', 'candidate_1': '13803', 'candidate_3': '0'}",election_10-12-2020_10-25-22_3cands_0.02666666666666667noise.csv,nan,nan,nan,candidate_2,election_10-12-2020_10-25-22_3cands_0.02666666666666667noise.csv,12029,15766,0,0,0,27795
1,"{'candidate_1': ' 6274', 'candidate_3': ' 5286', 'candidate_2': ' 4381'}","{'candidate_1': '10025', 'candidate_3': ' 5916', 'candidate_2': '0'}",election_10-12-2020_10-25-22_3cands_0.03333333333333333noise.csv,nan,nan,nan,candidate_1,election_10-12-2020_10-25-22_3cands_0.03333333333333333noise.csv, 6274,10025,0,0,0,16299
2,"{'candidate_3': '11255', 'candidate_2': ' 9817', 'candidate_1': ' 6946'}","{'candidate_2': '16066', 'candidate_3': '11952', 'candidate_1': '0'}",election_10-12-2020_10-25-22_3cands_0.04666666666666667noise.csv,nan,nan,nan,candidate_2,election_10-12-2020_10-25-22_3cands_0.04666666666666667noise.csv, 9817,16066,0,0,0,25883
3,"{'candidate_3': ' 9534', 'candidate_4': ' 6689', 'candidate_2': ' 6149', 'candidate_1': ' 5883'}","{'candidate_3': '11729', 'candidate_4': ' 9906', 'candidate_2': ' 6620', 'candidate_1': '0'}",election_10-12-2020_10-25-22_4cands_0.0175noise.csv,"{'candidate_3': '15203', 'candidate_4': '13052', 'candidate_2': '0', 'candidate_1': '0'}",nan,nan,candidate_3,election_10-12-2020_10-25-22_4cands_0.0175noise.csv, 9534,11729,15203,0,0,36466
4,"{'candidate_2': '276', 'candidate_4': '235', 'candidate_1': '196', 'candidate_3': '138'}","{'candidate_4': '310', 'candidate_2': '288', 'candidate_1': '247', 'candidate_3': '0'}",election_10-12-2020_10-25-22_4cands_0.035noise.csv,"{'candidate_2': '461', 'candidate_4': '384', 'candidate_1': '0', 'candidate_3': '0'}",nan,nan,candidate_2,election_10-12-2020_10-25-22_4cands_0.035noise.csv,276,288,461,0,0,1025
5,"{'candidate_4': '492', 'candidate_3': '457', 'candidate_1': '438', 'candidate_2': '432', 'candidate_5': '396'}","{'candidate_4': '599', 'candidate_3': '546', 'candidate_2': '535', 'candidate_1': '535', 'candidate_5': '0'}",election_10-12-2020_10-25-22_5cands_0.018noise.csv,"{'candidate_4': '768', 'candidate_2': '735', 'candidate_3': '712', 'candidate_1': '0', 'candidate_5': '0'}","{'candidate_4': ' 1142', 'candidate_2': ' 1073', 'candidate_3': '0', 'candidate_1': '0', 'candidate_5': '0'}",nan,candidate_4,election_10-12-2020_10-25-22_5cands_0.018noise.csv,492,599,768, 1142,0,3001
6,"{'candidate_3': '16261', 'candidate_2': '12196', 'candidate_1': ' 9849'}","{'candidate_3': '22206', 'candidate_2': '16100', 'candidate_1': '0'}",election_10-12-2020_10-25-23_3cands_0.01noise.csv,nan,nan,nan,candidate_3,election_10-12-2020_10-25-23_3cands_0.01noise.csv,16261,22206,0,0,0,38467
7,"{'candidate_2': '12064', 'candidate_1': ' 8246', 'candidate_3': ' 5587'}","{'candidate_1': '13196', 'candidate_2': '12701', 'candidate_3': '0'}",election_10-12-2020_10-25-23_3cands_0.023333333333333334noise.csv,nan,nan,nan,candidate_1,election_10-12-2020_10-25-23_3cands_0.023333333333333334noise.csv, 8246,13196,0,0,0,21442
8,"{'candidate_1': ' 6262', 'candidate_2': ' 5581', 'candidate_3': ' 5297'}","{'candidate_2': ' 9012', 'candidate_1': ' 8128', 'candidate_3': '0'}",election_10-12-2020_10-25-23_3cands_0.04noise.csv,nan,nan,nan,candidate_2,election_10-12-2020_10-25-23_3cands_0.04noise.csv, 5581, 9012,0,0,0,14593
9,"{'candidate_3': ' 2835', 'candidate_4': ' 2802', 'candidate_1': ' 2553', 'candidate_2': ' 1962'}","{'candidate_4': ' 3521', 'candidate_3': ' 3472', 'candidate_1': ' 3159', 'candidate_2': '0'}",election_10-12-2020_10-25-23_4cands_0.015noise.csv,"{'candidate_3': ' 5578', 'candidate_4': ' 4574', 'candidate_1': '0', 'candidate_2': '0'}",nan,nan,candidate_3,election_10-12-2020_10-25-23_4cands_0.015noise.csv, 2835, 3472, 5578,0,0,11885
10,"{'candidate_2': ' 8227', 'candidate_5': ' 8139', 'candidate_4': ' 7824', 'candidate_3': ' 7294', 'candidate_1': ' 7000'}","{'candidate_5': '10559', 'candidate_2': ' 9953', 'candidate_3': ' 9076', 'candidate_4': ' 8896', 'candidate_1': '0'}",election_10-12-2020_10-25-23_5cands_0.028000000000000004noise.csv,"{'candidate_2': '13434', 'candidate_5': '12977', 'candidate_3': '12073', 'candidate_4': '0', 'candidate_1': '0'}","{'candidate_2': '20286', 'candidate_5': '18198', 'candidate_3': '0', 'candidate_4': '0', 'candidate_1': '0'}",nan,candidate_2,election_10-12-2020_10-25-23_5cands_0.028000000000000004noise.csv, 8227, 9953,13434,20286,0,51900
11,"{'candidate_3': ' 7448', 'candidate_1': ' 7394', 'candidate_5': ' 7158', 'candidate_6': ' 7077', 'candidate_2': ' 6843', 'candidate_4': ' 6735'}","{'candidate_1': ' 8963', 'candidate_5': ' 8609', 'candidate_3': ' 8523', 'candidate_6': ' 8495', 'candidate_2': ' 8065', 'candidate_4': '0'}",election_10-12-2020_10-25-23_6cands_0.013333333333333334noise.csv,"{'candidate_1': '10902', 'candidate_3': '10743', 'candidate_5': '10505', 'candidate_6': '10505', 'candidate_2': '0', 'candidate_4': '0'}","{'candidate_1': '14561', 'candidate_5': '14193', 'candidate_3': '13901', 'candidate_6': '0', 'candidate_2': '0', 'candidate_4': '0'}","{'candidate_1': '21337', 'candidate_5': '21318', 'candidate_3': '0', 'candidate_6': '0', 'candidate_2': '0', 'candidate_4': '0'}",candidate_1,election_10-12-2020_10-25-23_6cands_0.013333333333333334noise.csv, 7394, 8963,10902,14561,21337,63157
12,"{'candidate_4': ' 1111', 'candidate_6': ' 1101', 'candidate_5': ' 1049', 'candidate_3': '992', 'candidate_2': '984', 'candidate_1': '926'}","{'candidate_4': ' 1289', 'candidate_6': ' 1266', 'candidate_5': ' 1240', 'candidate_3': ' 1221', 'candidate_2': ' 1147', 'candidate_1': '0'}",election_10-12-2020_10-25-24_6cands_0.018333333333333333noise.csv,"{'candidate_4': ' 1627', 'candidate_6': ' 1549', 'candidate_3': ' 1508', 'candidate_5': ' 1479', 'candidate_2': '0', 'candidate_1': '0'}","{'candidate_4': ' 2108', 'candidate_6': ' 2044', 'candidate_3': ' 2011', 'candidate_5': '0', 'candidate_2': '0', 'candidate_1': '0'}","{'candidate_4': ' 3157', 'candidate_6': ' 3006', 'candidate_3': '0', 'candidate_5': '0', 'candidate_2': '0', 'candidate_1': '0'}",candidate_4,election_10-12-2020_10-25-24_6cands_0.018333333333333333noise.csv, 1111, 1289, 1627, 2108, 3157,9292
13,"{'candidate_2': ' 3718', 'candidate_1': ' 1737', 'candidate_3': ' 1652'}",nan,election_10-12-2020_10-25-25_3cands_0.03333333333333333noise.csv,nan,nan,nan,candidate_2,election_10-12-2020_10-25-25_3cands_0.03333333333333333noise.csv, 3718,0,0,0,0,3718
14,"{'candidate_3': '11335', 'candidate_5': '10661', 'candidate_1': '10389', 'candidate_2': ' 8741', 'candidate_4': ' 8636'}","{'candidate_3': '14535', 'candidate_5': '13222', 'candidate_1': '11941', 'candidate_2': '10064', 'candidate_4': '0'}",election_10-12-2020_10-25-25_5cands_0.008noise.csv,"{'candidate_3': '17142', 'candidate_5': '16900', 'candidate_1': '15720', 'candidate_2': '0', 'candidate_4': '0'}","{'candidate_5': '24995', 'candidate_3': '24767', 'candidate_1': '0', 'candidate_2': '0', 'candidate_4': '0'}",nan,candidate_5,election_10-12-2020_10-25-25_5cands_0.008noise.csv,10661,13222,16900,24995,0,65778
15,"{'candidate_1': ' 2887', 'candidate_5': ' 2878', 'candidate_3': ' 2868', 'candidate_4': ' 2745', 'candidate_2': ' 2348'}","{'candidate_1': ' 3741', 'candidate_3': ' 3607', 'candidate_5': ' 3287', 'candidate_4': ' 3091', 'candidate_2': '0'}",election_10-12-2020_10-25-25_5cands_0.01noise.csv,"{'candidate_1': ' 4878', 'candidate_3': ' 4474', 'candidate_5': ' 4374', 'candidate_4': '0', 'candidate_2': '0'}","{'candidate_1': ' 7210', 'candidate_3': ' 6516', 'candidate_5': '0', 'candidate_4': '0', 'candidate_2': '0'}",nan,candidate_1,election_10-12-2020_10-25-25_5cands_0.01noise.csv, 2887, 3741, 4878, 7210,0,18716
16,"{'candidate_1': ' 6606', 'candidate_5': ' 6592', 'candidate_3': ' 6496', 'candidate_4': ' 6285', 'candidate_2': ' 6164'}","{'candidate_1': ' 8459', 'candidate_3': ' 7920', 'candidate_5': ' 7886', 'candidate_4': ' 7878', 'candidate_2': '0'}",election_10-12-2020_10-25-26_5cands_0.026000000000000002noise.csv,"{'candidate_1': '11306', 'candidate_5': '10924', 'candidate_3': ' 9913', 'candidate_4': '0', 'candidate_2': '0'}","{'candidate_1': '16675', 'candidate_5': '15468', 'candidate_3': '0', 'candidate_4': '0', 'candidate_2': '0'}",nan,candidate_1,election_10-12-2020_10-25-26_5cands_0.026000000000000002noise.csv, 6606, 8459,11306,16675,0,43046
17,"{'candidate_3': ' 4893', 'candidate_1': ' 4518', 'candidate_4': ' 4456', 'candidate_5': ' 4275', 'candidate_2': ' 4242', 'candidate_6': ' 4233'}","{'candidate_3': ' 5628', 'candidate_4': ' 5462', 'candidate_1': ' 5401', 'candidate_5': ' 5072', 'candidate_2': ' 5054', 'candidate_6': '0'}",election_10-12-2020_10-25-26_6cands_0.021666666666666667noise.csv,"{'candidate_3': ' 7042', 'candidate_1': ' 6610', 'candidate_4': ' 6530', 'candidate_5': ' 6435', 'candidate_2': '0', 'candidate_6': '0'}","{'candidate_3': ' 9146', 'candidate_4': ' 8790', 'candidate_1': ' 8681', 'candidate_5': '0', 'candidate_2': '0', 'candidate_6': '0'}","{'candidate_3': '13418', 'candidate_4': '13199', 'candidate_1': '0', 'candidate_5': '0', 'candidate_2': '0', 'candidate_6': '0'}",candidate_3,election_10-12-2020_10-25-26_6cands_0.021666666666666667noise.csv, 4893, 5628, 7042, 9146,13418,40127
18,"{'candidate_1': ' 5995', 'candidate_3': ' 3410', 'candidate_2': ' 2737'}","{'candidate_1': ' 8608', 'candidate_3': ' 3534', 'candidate_2': '0'}",election_10-12-2020_10-25-27_3cands_0.02noise.csv,nan,nan,nan,candidate_1,election_10-12-2020_10-25-27_3cands_0.02noise.csv, 5995, 8608,0,0,0,14603
19,"{'candidate_4': '568', 'candidate_2': '534', 'candidate_3': '462', 'candidate_1': '345'}","{'candidate_4': '720', 'candidate_2': '670', 'candidate_3': '519', 'candidate_1': '0'}",election_10-12-2020_10-25-27_4cands_0.035noise.csv,"{'candidate_2': '957', 'candidate_4': '952', 'candidate_3': '0', 'candidate_1': '0'}",nan,nan,candidate_2,election_10-12-2020_10-25-27_4cands_0.035noise.csv,534,670,957,0,0,2161
